Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,0.170579744,0.171386693,0.172137493,0.172345263,0.172432922,0.1732256,0.171362426,0.16968729,0.168608362,0.168044683,0.167691446,0.171014356,0.17493084,0.178776539,0.182145242,0.184967056,0.179940458,0.175169463,0.171435485,0.169559192,0.169957825,0.176327841,0.184791019,0.194735137,0.205302813,0.215845008,0.22393533,0.224570994
AGO,0.921182626,0.919661589,0.918335127,0.914296247,0.915948293,0.918873738,0.919928004,0.921028979,0.922410463,0.923605454,0.924923952,0.924881253,0.92341726,0.924274642,0.926144768,0.92920537,0.931109882,0.933789934,0.935467067,0.935406086,0.935750433,0.935298889,0.935698862,0.936868904,0.938037009,0.93920261,0.939572691,0.940468396
ALB,0.720140828,0.745257035,0.74968925,0.740724373,0.734181486,0.726140047,0.718269376,0.722566997,0.715309913,0.706948189,0.702690212,0.699356733,0.698096319,0.700495555,0.703715937,0.707652181,0.712509373,0.7176283,0.722840173,0.699076087,0.72546996,0.731303625,0.738176296,0.712735076,0.70112084,0.731664591,0.729236133,0.727965084
ARE,0.32375459,0.32625473,0.329367441,0.331428321,0.335485915,0.33921148,0.345478016,0.351699025,0.357654747,0.36328021,0.368510766,0.375512556,0.382163006,0.388755712,0.395299861,0.401696563,0.421345906,0.439377339,0.456388738,0.461748768,0.460161051,0.458440776,0.45783453,0.456038543,0.452401925,0.44796613,0.445710995,0.44478152
ARG,0.58702823,0.596621394,0.607731355,0.615788259,0.623680389,0.624298708,0.631771122,0.641045101,0.646948648,0.646775304,0.648802792,0.649055039,0.643284695,0.65263819,0.662248139,0.653539402,0.660075349,0.652685724,0.645571969,0.654806183,0.626455463,0.645647122,0.650284088,0.646474739,0.641810173,0.646155274,0.646343761,0.646250085
ARM,0.69496531,0.695993617,0.697561502,0.699612692,0.702011207,0.704666309,0.707895213,0.71120303,0.714549695,0.717866965,0.721031131,0.722163542,0.722781508,0.722824612,0.722266092,0.721174102,0.719162486,0.716913617,0.714345604,0.71369295,0.692581496,0.734881512,0.737027861,0.745820845,0.733849309,0.729210579,0.728111565,0.728757841
AUS,0.690519891,0.695672524,0.700083525,0.702484053,0.71419469,0.725708987,0.730404643,0.733400768,0.737225456,0.741815717,0.755379519,0.765576442,0.76948291,0.781749445,0.778958109,0.790297507,0.796769333,0.801674992,0.807223921,0.813205937,0.810310603,0.816003617,0.819583954,0.821943133,0.82592779,0.829885862,0.838297958,0.839596104
AUT,0.620666504,0.625537485,0.641614374,0.651404461,0.682968502,0.694064441,0.693518277,0.699869567,0.707260544,0.708725208,0.710424743,0.718542825,0.735115658,0.7378845,0.76103179,0.766184299,0.772741032,0.775547301,0.78445268,0.795922965,0.800236319,0.808105068,0.815268221,0.819258148,0.825406236,0.826378104,0.829739339,0.832426943
AZE,0.74274396,0.743766753,0.74840972,0.758139706,0.770723767,0.781018745,0.783674225,0.7844855,0.783901393,0.785070794,0.811092732,0.835662285,0.859294086,0.881912601,0.903619495,0.924734956,0.945421139,0.966015725,0.950699824,0.934995807,0.918651153,0.902307522,0.903384144,0.902286573,0.905810257,0.910238476,0.903161547,0.905437747
BDI,1.003648199,1.004368972,1.0055063,1.007004067,1.008783444,1.010763146,1.01119407,1.011653284,1.012108623,1.014250672,1.016501372,1.018614117,1.020358222,1.021757613,1.022825435,1.023704684,1.024095394,1.024546434,1.025148237,1.02596412,1.026968311,1.029531915,1.032226019,1.035056578,1.037903666,1.036277365,1.035006123,1.035647346
BEL,0.601658899,0.621664101,0.637788528,0.655200441,0.658360597,0.663916575,0.667237357,0.677583153,0.687399698,0.706152913,0.710025435,0.692325562,0.705514921,0.712290153,0.732494617,0.742208662,0.750435941,0.759185336,0.768084011,0.77427746,0.781217628,0.784374834,0.785150933,0.797156068,0.808507736,0.811997988,0.810087482,0.81391943
BEN,0.642623441,0.642711479,0.643073339,0.658806225,0.675127733,0.692061558,0.709665721,0.728030728,0.747166219,0.76715337,0.788001703,0.809677574,0.832328569,0.84817516,0.86369748,0.878812843,0.893504611,0.907858468,0.921854193,0.935548218,0.948923947,0.923051861,0.925213438,0.928443137,0.931751918,0.934042364,0.936314223,0.939173148
BFA,0.839470035,0.840032227,0.833184239,0.8263594,0.819155664,0.811911178,0.804344166,0.79625629,0.787959599,0.779317501,0.770085038,0.760468874,0.750452915,0.740318118,0.729765721,0.719123276,0.707862694,0.712367411,0.717642597,0.723785294,0.730888767,0.738945263,0.74822999,0.758912264,0.771152416,0.773145552,0.77528057,0.77368709
BGD,0.261907739,0.263197913,0.265396322,0.268470814,0.272368097,0.277059287,0.282013799,0.287826448,0.294133144,0.300392281,0.306290571,0.310556787,0.314573038,0.318303145,0.321803678,0.325248648,0.32701192,0.334586507,0.342424877,0.350504703,0.358852596,0.367125361,0.37563432,0.384404616,0.393445469,0.402731858,0.412129557,0.41396117
BGR,0.88278691,0.884444684,0.886118461,0.878600397,0.869726402,0.859251754,0.848530912,0.836323444,0.822743892,0.807822723,0.791586173,0.823373197,0.824236971,0.802814631,0.806808555,0.792907891,0.806210346,0.803235722,0.789403894,0.788111696,0.801270023,0.810860004,0.814646413,0.81434805,0.80932335,0.808555569,0.801661615,0.802156132
BHR,0.327119973,0.330878818,0.338253841,0.345803492,0.353494704,0.361127896,0.369609874,0.377604456,0.385354753,0.393205322,0.40127389,0.413197344,0.423956073,0.4338721,0.443068868,0.451958456,0.461729269,0.471207556,0.480730673,0.490507374,0.50080104,0.496312625,0.497449592,0.499016997,0.500982123,0.503488675,0.504852928,0.506440307
BHS,0.816207584,0.818016456,0.820232831,0.822851226,0.825825173,0.829341733,0.83158844,0.83357455,0.839213387,0.846606119,0.849631067,0.85252896,0.854678354,0.852865613,0.85360331,0.857011526,0.857830766,0.85796152,0.855663815,0.852552629,0.855279454,0.854676208,0.856830252,0.85630832,0.854936038,0.852291513,0.851274539,0.85334649
BIH,0.649159819,0.647643142,0.645110047,0.642010362,0.63914155,0.636645258,0.635944018,0.635856791,0.63571265,0.635039841,0.634270423,0.633628156,0.632739029,0.631686198,0.630419261,0.626000018,0.624850811,0.624026046,0.62354571,0.621131855,0.619831421,0.618503993,0.616710777,0.61586753,0.614548807,0.610636568,0.599761939,0.599556638
BLR,0.787632153,0.788366008,0.78698694,0.786133625,0.785999389,0.787697361,0.79112868,0.795679928,0.800607351,0.80440178,0.809601154,0.814471941,0.817951195,0.820338957,0.822032727,0.823170974,0.825095387,0.826462034,0.827342632,0.827554769,0.827312433,0.827714974,0.827597482,0.827119371,0.826562325,0.825981591,0.826855599,0.826920641
BLZ,0.42127053,0.429272981,0.438855822,0.442030041,0.43840655,0.438925961,0.442110041,0.455022281,0.467856456,0.480706985,0.493572676,0.50669983,0.519970631,0.533341494,0.546780315,0.560178753,0.574747251,0.590012523,0.605853796,0.622276611,0.639155645,0.646540568,0.655585379,0.650787127,0.647192636,0.644998745,0.650348804,0.655249211
BOL,0.682768815,0.686937778,0.690547896,0.695095188,0.699901832,0.704740926,0.709029972,0.713682592,0.717606431,0.721469326,0.725695363,0.731774069,0.737855535,0.743982777,0.750142493,0.756208832,0.762066367,0.747370348,0.758975173,0.761849514,0.755914466,0.750892125,0.724185764,0.736038624,0.744398721,0.683553783,0.689179703,0.690597865
BRA,0.504252662,0.517282535,0.530480251,0.543858139,0.557382076,0.57104485,0.585018959,0.59915269,0.61342812,0.627805438,0.642295165,0.65695958,0.674595742,0.682048963,0.691588674,0.699487658,0.707452711,0.707521841,0.710196532,0.712894866,0.702440077,0.691903995,0.696155743,0.69610013,0.698647928,0.707715164,0.711481738,0.711863949
BRB,0.789215378,0.804552558,0.804615923,0.811919655,0.818977141,0.8229997,0.858538796,0.836091208,0.837676255,0.839346322,0.841118126,0.842475956,0.843765336,0.845116326,0.848353902,0.851007355,0.853641276,0.856108792,0.858516986,0.860938554,0.8691343,0.867267781,0.862389577,0.877976665,0.895827539,0.884459744,0.887539702,0.8888239
BRN,0.559931477,0.565406795,0.579580788,0.594006066,0.608775233,0.624157214,0.638023455,0.652560453,0.667932198,0.683555894,0.69873864,0.711179668,0.714563848,0.717910101,0.72159433,0.72579573,0.733381541,0.740615154,0.747267116,0.753352857,0.759248126,0.765976967,0.773317391,0.781207982,0.789304659,0.789258235,0.788559639,0.790340541
