Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.83999634,72.09100342,76.81700134,80.42299652,77.23200226,77.5039978,77.85099792,78.01799774,78.09700012,78.09100342,77.9260025,73.16899872,72.29199982,70.22899628,70.21700287,69.06999969,67.91799927,65.79000092,65.375,62.81399918,61.08599854,59.85900116,59.59899902,59.65000153,58.99700165,59.12200165,59.90200043
Angola,AGO,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7159996,28.24200058,32.61800003,32.55400085,33.13999939,31.83799934,31.19300079,28.43199921,30.30500031,28.56800079,27.85300064,29.86100006,29.32799911,28.43000031,29.97299957,31.04599953,31.41500092,32.93600082,33.93299866,40.15100098,44.49499893,43.84400177,42.2140007,41.70399857,41.82899857,42.10800171,43.64899826
Albania,ALB,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.02899933,66.70700073,66.55599976,65.14199829,64.15200043,60.13600159,58.75600052,58.59400177,56.28900146,54.20500183,52.19300079,50.48899841,49.04800034,47.00799942,44.70399857,42.59700012,37.68000031,37.04800034,35.0530014,36.30199814,38.72299957,39.00999832,37.96500015,37.3409996,36.70000076,35.80599976,35.39799881
Andorra,AND,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71919067,33.02797399,32.09539847,31.75731452,31.38115706,32.27752342,30.01981053,29.31398732,29.11891641,28.67365845,28.36436041,27.95920408,27.94910236,27.01023094,26.39964627,26.28305401,24.56931201,24.1475798,22.9254293,22.25961513,22.43008654,21.89494386,21.5812897,21.63046658,21.65648641,21.60577212,22.00748189
United Arab Emirates,ARE,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.354000092,8.642000198,9.076999664,8.930000305,9.008000374,8.326999664,7.551000118,7.136000156,7.089000225,6.734000206,6.375,6.138999939,5.745999813,5.448999882,5.573999882,5.225999832,5.06099987,4.734000206,1.363999963,0.851999998,0.605000019,0.453000009,0.338999987,0.270999998,0.222000003,0.186000004,0.395999998
Argentina,ARG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.470999986,0.449999988,0.55400002,0.592000008,0.788999975,1.110999942,1.139999986,1.123999953,1.090000033,0.963,1.190000057,1.31099999,1.67900002,1.855999947,1.656000018,1.434000015,1.291000009,1.761999965,1.805999994,1.863000035,0.873000026,0.838999987,0.883000016,0.814999998,0.76700002,0.808000028,0.802999973
Armenia,ARM,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.32899857,43.95399857,51.2519989,49.47600174,49.25899887,47.1230011,44.99499893,46.13499832,44.14799881,43.49200058,43.61299896,41.88899994,39.27299881,38.2480011,35.16899872,32.69400024,30.35400009,30.83399963,34.17499924,31.6760006,33.14099884,31.34799957,29.02099991,29.96299934,31.25,30.4489994,30.49399948
American Samoa,ASM,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
