Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.78499985,14.85099983,14.9090004,14.91699982,14.9119997,14.9659996,14.8039999,14.6619997,14.57400036,14.53199959,14.50899982,14.81599998,15.17700005,15.53299999,15.84700012,16.11100006,15.65499973,15.22099972,14.87699986,14.69400024,14.70899963,15.25800037,15.99199963,16.85899925,17.7859993,18.71699905,19.41900063,19.47299957
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.15100098,75.10600281,74.9940033,74.76200104,74.69100189,74.66400146,74.69999695,74.72399902,74.74199677,74.73999786,74.73200226,74.76000214,74.72200012,74.73500061,74.77600098,74.85399628,74.98600006,75.11499786,75.20500183,75.24500275,75.28299713,75.34300232,75.39299774,75.43199921,75.43599701,75.40200043,75.33399963,75.3239975
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.59000015,55.78099823,56.09700012,55.28099823,54.53499985,53.5019989,52.9070015,53.56100082,52.97800064,52.16500092,51.7179985,51.09500122,50.67900085,49.75899887,48.87799835,48.05099869,47.38899994,46.8030014,46.26900101,44.94499969,45.69300079,47.10400009,48.80599976,44.65000153,44.78900146,47.67599869,47.43899918,47.2179985
Andorra,AND,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.24861251,19.3389426,19.28760605,19.44729046,19.78833833,19.7728164,19.61184949,19.36625034,19.17871465,19.6557388,19.73492035,19.71237689,19.30694399,19.58633485,19.76299105,19.92222958,20.11205723,20.68110761,20.78962952,20.66366745,20.7489085,20.65087294,20.84077868,21.05859721,20.81246574,20.86717122,20.83296936,20.85730386
United Arab Emirates,ARE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.18000031,29.42099953,29.81500053,30.2140007,30.75499916,31.25799942,31.55699921,31.96100044,32.48899841,33.10100174,33.7179985,34.06800079,34.61899948,35.35499954,36.23199844,37.17300034,38.56200027,40.10900116,41.77600098,42.55799866,42.91600037,42.66799927,42.53099823,42.34500122,42.07699966,41.79299927,41.25099945,40.9070015
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.31299973,45.02999878,45.8429985,46.35900116,46.9070015,46.84799957,47.40999985,48.18799973,48.70100021,48.70800018,48.90999985,48.90499878,48.36600113,49.20500183,50.06000137,49.41999817,49.93799973,49.01800156,48.11899948,48.82300186,46.37900162,48.10200119,48.18799973,47.79000092,47.1570015,47.45299911,47.43000031,47.33200073
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.96099854,49.00699997,49.00299835,48.95399857,48.86700058,48.74599838,48.61399841,48.48199844,48.34500122,48.19400024,48.02500153,47.89099884,47.73899841,47.59799957,47.51499939,47.51599884,47.56900024,47.70199966,47.70399857,48.33200073,49.61999893,52.11999893,51.98699951,52.64599991,51.95800018,51.17599869,51.21099854,51.43500137
American Samoa,ASM,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.31999969,52.02099991,51.97000122,51.7519989,52.67399979,53.66400146,53.85200119,53.67100143,53.74300003,53.74900055,54.6230011,55.19499969,55.40200043,56.0530014,55.8030014,57.04999924,57.61199951,58.20000076,58.66500092,58.81999969,58.70700073,58.95299911,58.82400131,58.70399857,58.64500046,59.05799866,59.24000168,59.20999908
Austria,AUT,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.43299866,43.78699875,44.99000168,45.56900024,47.95600128,48.80799866,48.3409996,48.29800034,48.81299973,48.97999954,48.94400024,48.77899933,50.15399933,50.18500137,49.35900116,50.66699982,51.24200058,52.11600113,52.67599869,53.3730011,53.50699997,53.84000015,54.33599854,54.59700012,54.56100082,54.5359993,54.9469986,54.95100021
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.12799835,52.26300049,53.17900085,54.30099869,55.39500046,56.14899826,56.27799988,56.22800064,56.02700043,55.94100189,56.98899841,57.88800049,58.71900177,59.5,60.26599884,61.05099869,61.84000015,62.6780014,62.28699875,61.86399841,61.37599945,60.76499939,61.10400009,61.32300186,61.92300034,62.51699829,62.96300125,62.90800095
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.78399658,90.34500122,89.84500122,89.28299713,88.66500092,87.99299622,87.26200104,86.46499634,85.59200287,84.97899628,84.33200073,83.83499908,83.34999847,82.88600159,82.45200348,82.0530014,81.64600372,81.26599884,80.91699982,80.61000061,80.34999847,80.11199951,79.91699982,79.7480011,79.5739975,79.8690033,80.125,80.21399689
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55799866,37.9469986,38.73799896,39.4469986,40.05400085,40.47700119,40.52999878,40.9659996,41.5320015,43.14099884,43.56999969,41.72299957,42.35699844,42.67900085,43.95700073,45.48699951,45.62200165,46.4090004,46.73099899,46.74700165,47.49100113,46.80599976,46.88999939,47.59500122,48.00999832,48.02399826,47.76599884,47.80799866
Benin,BEN,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.34899902,57.36199951,57.36600113,58.22200012,59.07300186,59.91799927,60.74100113,61.55500031,62.35699844,63.14899826,63.92900085,64.69000244,65.44100189,66.13899994,66.76899719,67.33200073,67.81700134,68.24099731,68.60900116,68.93399811,69.22399902,68.08799744,68.15399933,68.2480011,68.34400177,68.41300201,68.49700165,68.69300079
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.21800232,76.28500366,75.47899628,74.65000153,73.79199982,72.90799713,71.98799896,71.03800201,70.06300354,69.05999756,68.02700043,66.95700073,65.86199951,64.7460022,63.60200119,62.43500137,61.22800064,60.84899902,60.47000122,60.0929985,59.7179985,59.3409996,58.97100067,58.60699844,58.24900055,58.30599976,58.36700058,58.14799881
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.11100006,23.19300079,23.35700035,23.60099983,23.92099953,24.31500053,24.70299911,25.17099953,25.68400002,26.19000053,26.65800095,26.97900009,27.27599907,27.54500008,27.79000092,28.02700043,28.10700035,28.56800079,29.03899956,29.51600075,29.99900055,30.46699905,30.94099998,31.42200089,31.90999985,32.40299988,32.88999939,33.03699875
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.44499969,54.39599991,54.37400055,53.25899887,52.09400177,50.87200165,49.67300034,48.43399811,47.13499832,45.74700165,44.25600052,46.8030014,46.39300156,44.95199966,45.7879982,44.74300003,46.88999939,48.10900116,48.84199905,48.0890007,47.69800186,47.2179985,47.82300186,48.52700043,48.62900162,48.63299942,47.76300049,47.77000046
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.85099983,28.93799973,29.51399994,30.18000031,30.91699982,31.67200089,32.20299911,32.72999954,33.31700134,34.00400162,34.77600098,35.49200058,36.20500183,37.04399872,37.97100067,38.94300079,39.65100098,40.50500107,41.50099945,42.60400009,43.76300049,43.00400162,43.20299911,43.40499878,43.61500168,43.80099869,43.90100098,44.0359993
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.83300018,65.66300201,66.49299622,67.3010025,68.02899933,68.3219986,68.46800232,68.5490036,68.79199982,69.11100006,69.20500183,69.47599792,69.70500183,69.6740036,69.73000336,69.92099762,70.00499725,70.06800079,70.00099945,69.88800049,70.09100342,69.99199677,70.08699799,70.06999969,70.00900269,69.87000275,69.79599762,69.97100067
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.18399811,40.94400024,40.61999893,40.23799896,39.84600067,39.45800018,39.26699829,39.11600113,38.97299957,38.81299973,38.64799881,38.47200012,38.29399872,38.12099838,37.96699905,37.8730011,37.69599915,37.56200027,37.4620018,37.29399872,37.13100052,36.89500046,36.59500122,36.29800034,35.97200012,35.67399979,35.26900101,35.1609993
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2140007,53.00500107,52.7840004,52.6230011,52.56999969,52.63000107,52.63299942,52.63899994,52.72800064,52.84999847,53.30899811,53.74700165,54.1590004,54.55500031,54.95700073,55.39199829,55.7879982,56.22999954,56.69200134,57.14099884,57.52799988,57.84899902,58.1230011,58.34500122,58.51399994,58.62900162,58.65299988,58.43600082
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.48899841,35.05400085,35.68600082,35.88399887,35.63499832,35.78300095,36.13100052,37.12799835,38.14199829,39.19300079,40.27799988,41.36899948,42.49200058,43.63000107,44.76599884,45.88199997,47.18099976,48.48899841,49.8030014,51.125,52.44400024,53.4980011,54.52700043,53.70100021,52.93000031,52.2120018,52.76800156,53.23899841
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
