"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","79.6699981689453","","","","","","","","","","","","72.7399978637695","","","","","","","","","75.0500030517578","","","","","","","","","","73.3899993896484","","","","","","","","","71.75","","","","","","","73.6399993896484","","","68.9199981689453","69.5999984741211","","","","","","",
"Afghanistan","AFG","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","96.7799987792969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.0362014770508","","","","77.0469970703125","","","","","",
"Angola","AGO","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","89.3000030517578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4658966064453","","","","","","","79.9497985839844","","","","","","",
"Albania","ALB","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","53.0699996948242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.810001373291","50.7799987792969","50.1100006103516","49.2099990844727","48.6100006103516","","48.2000007629395","47.0400009155273","74.4000015258789","73.9000015258789","72","67.8000030517578","","71.1800003051758","42.8800010681152","42.3499984741211","41.7999992370605","41.560001373291","61.122200012207","61.4514999389648","64.7017974853516","63.9715003967285","67.53759765625","65.2791976928711","61.6646995544434","63.5400009155273","64.2799987792969","","",
"Andorra","AND","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.1245876902414","71.0080990612459","70.8910261470997","","","72.4625581776896","","","","","",
"United Arab Emirates","ARE","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","","","","","93.3099975585938","","","","","94.0100021362305","","","","","","","","","","","","","","","92.2399978637695","","","","","","","","","","92.6999969482422","","","89.370002746582","88.9300003051758","","","","","","","93.2200012207031","92.7787017822266",
"Argentina","ARG","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","84.2900009155273","","","","","","","","","","81.0500030517578","","","","","","","78.1100006103516","77.6999969482422","77.2699966430664","76.379997253418","","","80.3600006103516","","79.6399993896484","","79.5100021362305","","78.7699966430664","78.6800003051758","75.0800018310547","67.0999984741211","67.3000030517578","67.6999969482422","76.1800003051758","76.3000030517578","76","76.3000030517578","76.0999984741211","73.3399963378906","72.5999984741211","72.0999984741211","73.3000030517578","75.1336975097656","75.2022018432617","75.0699996948242","74.9000015258789","73.9953002929688","73.9067993164063","73.866096496582","74.4311981201172","73.755500793457","73.339599609375","72.4542007446289","","","70.9207992553711",
"Armenia","ARM","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.7200012207031","","","40.9900016784668","","","","","","","66.4607009887695","69.5400009155273","69","72.3000030517578","70.0633010864258","72.0999984741211","70.035400390625","73.0677032470703","72.3730010986328","70.9273986816406","70.6820983886719",
"American Samoa","ASM","Labor force participation rate, male (% of male population ages 15+) (national estimate)","SL.TLF.CACT.MA.NE.ZS","68.2399978637695","","","","","","","","","","25.2199993133545","","","","68.5199966430664","","","","","","53.3699989318848","","","","","","","","","","58.8400001525879","","","","","","","","","","","","","","","","","","","","","","","","","","","",
