Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.67500305,86.65200043,86.61100006,86.5530014,86.48000336,86.39600372,86.38999939,86.40599823,86.43699646,86.47699738,86.52200317,86.63600159,86.76000214,86.88500214,87.0019989,87.10199738,87.00099945,86.89299774,86.77899933,86.66000366,86.54499817,86.53199768,86.54100037,86.5739975,86.63300323,86.71499634,86.71700287,86.71199799
Angola,AGO,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.58100128,81.66699982,81.66300201,81.76999664,81.54499817,81.2559967,81.20200348,81.1309967,81.02899933,80.92199707,80.79799652,80.83200073,80.91899872,80.85800171,80.73899841,80.55699921,80.53399658,80.44100189,80.39299774,80.44100189,80.45200348,80.55500031,80.5739975,80.51499939,80.41899872,80.28299713,80.17900085,80.09200287
Albania,ALB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.41600037,74.84799957,74.82700348,74.6309967,74.27999878,73.68000031,73.65899658,74.12599945,74.06300354,73.78900146,73.59999847,73.05999756,72.59600067,71.03399658,69.45700073,67.90200043,66.51000214,65.21900177,64.01000214,64.29199982,62.98400116,64.41100311,66.11699677,62.64599991,63.88199997,65.16100311,65.0530014,64.86299896
Andorra,AND,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.34086381,76.32641397,76.14056357,76.14535478,76.25003852,75.99529989,75.57278988,75.29070098,74.84184697,75.03081152,74.79154235,74.14057908,73.87819843,73.71733674,73.59820396,73.73988077,73.78469202,73.94999285,74.21838383,74.33511952,74.79438521,74.77234731,74.71161104,74.89394127,74.42566251,74.22315827,74.1313947,74.12360533
United Arab Emirates,ARE,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.12999725,90.1780014,90.52200317,91.16300201,91.67299652,92.14900208,91.34300232,90.87599945,90.83899689,91.11699677,91.4980011,90.72399902,90.58699799,90.94400024,91.65699768,92.54000092,91.52100372,91.28600311,91.53600311,92.16699982,93.26300049,93.0719986,92.89600372,92.85399628,93.00800323,93.29499817,92.5510025,91.97100067
Argentina,ARG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.48699951,75.47499847,75.43299866,75.28399658,75.20999908,75.04100037,75.04299927,75.17099762,75.27799988,75.30899811,75.38500214,75.34799957,75.18599701,75.39399719,75.59100342,75.6190033,75.65499878,75.10199738,74.53700256,74.56099701,74.03399658,74.5019989,74.10299683,73.9240036,73.47499847,73.43900299,73.38200378,73.24099731
Armenia,ARM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4509964,70.41300201,70.24900055,69.97299957,69.61000061,69.1760025,68.6740036,68.16899872,67.65799713,67.13500214,66.60600281,66.31600189,66.0490036,65.84999847,65.78600311,65.88700104,66.14499664,66.53800201,66.77999878,67.72100067,71.64499664,70.92299652,70.53600311,70.58799744,70.80200195,70.18000031,70.33399963,70.57900238
American Samoa,ASM,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
