Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11955699,14.09691592,14.05432913,13.98004224,13.9207082,13.93650702,13.80441965,13.70941262,13.66181375,13.6376993,13.60799649,13.79300505,14.00401822,14.21209987,14.40777251,14.59325647,14.30153852,14.03962511,13.84833867,13.77056259,13.83065155,14.25147609,14.79695293,15.42679987,16.09079747,16.75191656,17.28286169,17.33994805
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.58614135,49.54604932,49.50482046,49.3856322,49.41950141,49.48710818,49.51731018,49.54732525,49.58324503,49.6123252,49.64282091,49.65036891,49.61546955,49.63975152,49.68898461,49.76935873,49.8326435,49.91214847,49.96054734,49.96134191,49.97023501,49.96655295,49.98398201,50.02019467,50.05151527,50.07869512,50.0982139,50.12148899
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.84516362,42.14421015,42.90691873,43.28712747,43.65501857,43.76979956,43.28908658,43.02445633,42.27270194,41.53404704,41.08101225,40.9433263,40.99584932,41.24859076,41.53447733,41.80127779,42.045703,42.24983848,42.41739267,41.57011461,42.42631414,42.47990301,42.56864505,41.59252007,41.10070056,42.0728638,41.99053129,41.9659153
Andorra,AND,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.50787727,19.55937147,19.58841035,19.6947619,19.93415057,19.9230023,19.90439664,19.79265013,19.76321118,20.13874932,20.26522769,20.35555167,20.03529945,20.24998438,20.36192687,20.3943774,20.46243185,20.80077929,20.74750367,20.55319908,20.46557684,20.35288583,20.48506001,20.59364325,20.48697665,20.55790161,20.53241531,20.53542108
United Arab Emirates,ARE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12567938,11.17110323,11.25589958,11.32817216,11.47474125,11.61425176,11.74975448,11.86337935,11.9462278,11.9974133,12.01644144,12.20116798,12.37120097,12.45663676,12.37283207,12.11828621,11.99739269,11.83896128,11.75982151,11.58294172,11.42725581,11.41068356,11.52640056,11.69592064,11.85814932,11.99661405,12.17968111,12.38756646
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57293436,38.97927481,39.43410901,39.75817526,40.07187234,40.10451794,40.40122286,40.76351389,40.99462605,40.99688294,41.07891411,41.08935106,40.87417098,41.22236991,41.57519772,41.25040082,41.48979938,41.21224356,40.94063014,41.27806205,40.20399976,40.92203804,41.08631634,40.93457707,40.75024038,40.90243774,40.89720089,40.88109242
Armenia,ARM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.45112258,43.69003736,44.00848878,44.39261324,44.81186518,45.23304212,45.57541681,45.88976013,46.16357792,46.38957442,46.56726776,46.56371626,46.51186684,46.43448117,46.36303927,46.31609439,46.27115204,46.26553236,46.27260626,46.33802849,45.65114406,47.13497795,47.17196693,47.40209699,46.92998454,46.71852584,46.64107376,46.63966911
American Samoa,ASM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
