Country Code,Ratio of Female to Male Literacy Rates
ABW,0.9964685429009973
AFG,0.38778479774765
AGO,0.6605626147427326
ALB,0.9793996512141073
AND,1.0
ARE,1.0222686462201174
ARG,0.9996922373477982
ARM,0.9968573421983358
ASM,
ATG,1.0103658193510192
AUS,
AUT,
AZE,0.9970653788896163
BDI,0.7450253070349122
BEL,
BEN,0.4638255123216796
BFA,0.5349233361774235
BGD,0.8374549936267984
BGR,0.9909185387991495
BHR,0.9226686122592321
BHS,
BIH,0.9339606206547111
BLR,0.9967824426547485
BLZ,1.0008485095360853
BMU,
BOL,0.8983221070941434
BRA,1.0052749629020727
BRB,
BRN,0.9377071508766814
BTN,0.6615540834003137
BWA,1.0499951549834952
CAF,0.5076191850124981
CAN,
CHE,
CHL,0.997765093725968
CHN,0.8843877514517422
CIV,0.6486531932546638
CMR,0.7888595148819137
COG,0.8431496609706702
COL,1.0021947714937711
COM,0.8099335835276797
CPV,0.8389097527850744
CRI,1.0032543561396148
CUB,1.0003880596489334
CYM,1.0030295815606074
CYP,0.9609460551614328
CZE,
DEU,
DJI,
DMA,
DNK,
DOM,1.0046969731812874
DZA,0.7879605238039652
ECU,0.9656357627378264
EGY,0.7002064373730449
ERI,0.6765184169037995
ESP,0.9841448593670071
EST,1.0001733892997648
ETH,0.49823167122857664
FIN,
FJI,
FRA,
FRO,
FSM,
GAB,0.8836873272559035
GBR,
GEO,0.9981459515095279
GHA,0.7953455797480414
GIB,
GIN,0.39772529681113233
GMB,0.5840375825627119
GNB,0.4864480503165625
GNQ,0.8606152691160527
GRC,0.9562558078495214
GRD,
GRL,1.0
GTM,0.8508218168973458
GUM,
GUY,1.020951896287591
HKG,
HND,0.9975686466157696
HRV,0.9760156415706014
HTI,0.8541445321025358
HUN,
IDN,0.9358600556396734
IND,0.6629454347198099
IRL,
IRN,0.8611603808497895
IRQ,0.7449212893250997
ISL,
ISR,
ITA,0.9932160661056816
JAM,1.1591515186075454
JOR,0.9366826686311565
JPN,
KAZ,0.9977752425998752
KEN,0.8773242785840317
KGZ,0.9913810794099513
KHM,0.776611645356121
KIR,
KNA,
KOR,
KWT,0.9664530739779835
LAO,0.7341968595692725
LBN,0.927546057997963
LBR,0.44483742275094634
LBY,
LCA,
LIE,
LKA,0.9660714306250137
LSO,1.2282608256384853
LTU,1.0002198108942304
LUX,
LVA,0.9997155709651063
MAC,0.9473271967821303
MAR,0.6551447282201682
MCO,
MDA,0.985129749916653
MDG,0.8914022729024625
MDV,1.00183825456765
MEX,0.9681269622258815
MHL,0.998758114924046
MKD,0.9464757624594695
MLI,0.500394648340169
MLT,1.0301675266692587
MMR,0.9098881398787502
MNG,0.9983381429283157
MNP,
MOZ,0.503915277371438
MRT,0.6735301594931198
MUS,0.9334185536406606
MWI,0.7363922156358854
MYS,0.9181747452676621
NAM,0.9893256327428348
NCL,
NER,0.38948050262960254
NGA,0.6563835958941898
NIC,0.9978094737152448
NLD,
NOR,
NPL,0.5505778410960936
NRU,
NZL,
OMN,0.8963281808585686
PAK,0.5939700527492746
PAN,0.9868217159173805
PER,0.9072954336310016
PHL,1.0072488501635148
PLW,0.997901605142583
PNG,0.8025464977122126
POL,
PRI,1.0078947507043794
PRK,0.9999873350579601
PRT,0.9448900039349912
PRY,0.9792296962479491
PYF,
QAT,0.9839490670062451
RUS,0.9972608804332813
RWA,0.8649659377381892
SAU,0.8381643250823225
SDN,0.752371626663486
SEN,0.615349603458998
SGP,0.9467236865446513
SLB,0.8243727898964995
SLE,0.5570812935179618
SLV,0.94056577057716
SMR,
SOM,
STP,0.8090082944951557
SUR,0.9688157250716992
SVK,
SVN,0.9985106906733227
SWE,
SWZ,0.9743888460709906
SYC,1.0125352536980856
SYR,0.8270580883029094
TCA,
TCD,0.37496372202781364
TGO,0.6242581927249252
THA,0.9686828844340434
TJK,0.9953577206553258
TKM,0.9892956483665072
TON,1.001242716825097
TTO,0.9760430616154471
TUN,0.8126081589049027
TUR,0.8827551316886889
TUV,
TZA,0.8429362237834753
UGA,0.7503684780072503
UKR,0.9969579805230779
URY,1.0072489394445925
USA,
UZB,0.9973711035597528
VCT,
VEN,0.9964171917434054
VGB,
VIR,
VNM,0.9339753345328012
VUT,
WSM,0.9959130620459908
YEM,0.3007428084498167
ZAF,0.972572219529515
ZMB,0.7894198763499021
ZWE,0.9286157211300345
