Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EAS,0.839454544,0.845977317,0.85027164,0.854868963,0.859104432,0.863350452,0.867407016,0.916328134,0.919316518,0.922030908,0.924172082,0.927536238,0.930567976,0.934063185,0.937375517,0.939854876,0.942993384,0.952027444,0.954149754,0.957194702,0.958237413,0.959227597,0.960837867,0.961474278,0.964733804,0.965414856,0.96667513,
ECS,0.973612392,0.974469879,0.975243764,0.976041583,0.976832349,0.977645738,0.978772554,0.979517132,0.981692681,0.982191917,0.98135848,0.981768472,0.982329993,0.982791956,0.983388597,0.983866861,0.98390135,0.984564193,0.984837643,0.988057279,0.989374304,0.990941822,0.991700135,0.992035695,0.992234467,0.992428281,0.992923881,
EUU,0.988492344,0.988911886,0.988911886,0.989753125,0.990179147,0.990604588,0.991035228,0.991372001,0.991860002,0.99209724,0.992350634,0.992661064,0.993043993,0.993272149,0.993327993,0.993339251,0.993677058,0.99395393,0.993987124,0.994258097,0.994370669,0.99507666,0.995302633,0.995496279,0.9956769,0.995815606,0.996020374,
FCS,0.682628452,0.685420001,0.689627957,0.690736174,0.698177232,0.706611394,0.711160505,0.716799633,0.719859616,0.726828879,0.735489138,0.739900855,0.740574309,0.747983812,0.753182983,0.75638198,0.748438067,0.752722187,0.75537163,0.748387324,0.753112926,0.753198937,0.755183415,0.75492539,0.765144103,0.770945732,0.778073484,
HPC,0.615419759,0.619332238,0.621674916,0.62649386,0.633470952,0.639469031,0.648065928,0.657959636,0.661202963,0.666798149,0.678284997,0.685504633,0.667616886,0.675643587,0.680210177,0.685889618,0.681814177,0.697584678,0.69427199,0.698099252,0.712255958,0.73316789,0.742808381,0.747031302,0.756059946,0.762873427,0.775149166,
LCN,0.97132934,0.971445791,0.97239967,0.973409159,0.973491092,0.973942441,0.975364958,0.975661654,0.977356231,0.978735345,0.980734354,0.978920667,0.98056032,0.981438764,0.982250156,0.983095288,0.980310975,0.982546007,0.983494492,0.982876578,0.987163518,0.986676707,0.988584482,0.989234962,0.990013814,0.989690868,0.990036028,
LDC,0.614304239,0.621101803,0.624070909,0.630099717,0.641004534,0.650092493,0.658695181,0.668333852,0.67673189,0.684337052,0.696144259,0.709540388,0.697066849,0.705149337,0.709770823,0.716848878,0.716574931,0.736811491,0.728824172,0.733786239,0.741369695,0.763758084,0.763016924,0.767885416,0.773824134,0.781026321,0.79338121,
LIC,0.633863129,0.640069652,0.641361191,0.644377883,0.650775233,0.655097073,0.661870766,0.669834185,0.670652789,0.675959283,0.686289706,0.699476301,0.674589823,0.68157007,0.683866965,0.689538712,0.684841609,0.699697177,0.691579319,0.698740743,0.706049367,0.729625659,0.738890991,0.74283269,0.749529191,0.757339814,0.769718209,
LMC,0.699411214,0.708186431,0.708531837,0.711031228,0.717800817,0.724369079,0.731320644,0.737154041,0.744321429,0.750542865,0.752395004,0.757795318,0.76439159,0.767373604,0.772735073,0.753900821,0.77810167,0.780459384,0.785394678,0.789468477,0.812536139,0.821415278,0.821389288,0.826059657,0.834033743,0.836838383,0.84223653,
MEA,0.652552941,0.664820615,0.673640199,0.670614443,0.682712689,0.697776194,0.714108214,0.7187808,0.728334994,0.738286584,0.748456201,0.755735893,0.758765474,0.76680075,0.777036027,0.706289882,0.80008496,0.800995021,0.806624059,0.812913453,0.821573335,0.82446161,0.82494995,0.828483077,0.831487134,0.838835862,0.842489235,
MIC,0.794437416,0.80140711,0.803049798,0.805799335,0.810124954,0.8147464,0.819619667,0.848486914,0.850956501,0.854553899,0.856230518,0.859607953,0.863160171,0.86564199,0.869316477,0.862382384,0.873552504,0.879316926,0.881716385,0.885582023,0.895688415,0.901190627,0.900474284,0.90226177,0.90621661,0.907926858,0.910634032,
SAS,0.544592688,0.555842956,0.56008684,0.565645608,0.57505038,0.584608645,0.594344053,0.604039413,0.625452032,0.635371237,0.645327118,0.654761284,0.664807811,0.668627134,0.6780413,0.663523187,0.680174617,0.684577991,0.690882653,0.69972172,0.735918874,0.753471752,0.754826708,0.761350194,0.770469699,0.775320063,0.783878802,
SSF,0.662204343,0.673869162,0.670923748,0.677131774,0.684850797,0.692300775,0.700741557,0.711013415,0.715148633,0.721516251,0.71224671,0.719300253,0.708727495,0.718656034,0.718942114,0.721709605,0.722280387,0.73261059,0.735775469,0.73910442,0.745891972,0.761439229,0.768098469,0.77214331,0.779507057,0.787023163,0.796209503,
UMC,0.851726641,0.85748434,0.861129303,0.864963065,0.868489128,0.872633953,0.876815265,0.919909242,0.923316542,0.926036168,0.928031056,0.930615066,0.932972259,0.935890522,0.938983214,0.941256968,0.942866026,0.951273184,0.953022553,0.957895928,0.958923672,0.961406609,0.962567005,0.962887726,0.964449764,0.966084095,0.967330721,
WLD,0.843401585,0.847700346,0.848060494,0.849277009,0.851846641,0.854676048,0.857765067,0.877693291,0.878524426,0.880851774,0.882078451,0.88463645,0.885676277,0.887392031,0.889549118,0.884394562,0.892194191,0.896682886,0.897788653,0.900466963,0.908020035,0.912917664,0.912279128,0.913500487,0.916389312,0.917714468,0.920083346,
