Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																																									97.53739929										96.94052887							
Afghanistan	AFG	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																				30.3077507																																45.417099						
Angola	AGO	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																																										82.91986847													79.97415161			
Albania	ALB	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																																										99.18760681							97.30619812			98.00816345	98.35260773					
Andorra	AND	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																																																								100	100	
Arab World	ARB	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																			60.2949	60.64819	61.10123	61.57178	62.07459	62.00597	62.7109	63.48105	64.27246	64.72476	65.58355	66.31056	67.10404	68.07179	68.72493	69.83685	70.35145	71.18083	72.21095	72.87947	73.84942	74.60969	75.03295	76.24353	77.08168	80.00241	80.5662	80.89191	77.643	78.26312	78.72596	77.56362	78.14771	79.49859	80.38914	80.70831	81.04234	81.33483	81.58286	
United Arab Emirates	ARE	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																58.3861084										72.27427673																				89.48210144												
Argentina	ARG	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																					94.26338959											96.2212677										97.19319916														98.04000092		
Armenia	ARM	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																														99.40384674												99.67223358										99.80608368						
American Samoa	ASM	"Literacy rate, adult male (% of males ages 15 and above)"	SE.ADT.LITR.MA.ZS																																																										
