"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","1.05","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05",
"Afghanistan","AFG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","1.06","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06",
"Angola","AGO","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","1.02","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","1.022","1.024","1.026","1.028","1.03","1.03","1.03","1.03","1.03","1.03",
"Albania","ALB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.07","","","","","1.07","","","","","1.07","","","","","1.07","","","","","1.07","","","","","1.07","","","1.07","","1.07","","","","","1.078","","","","","1.078","","","","","1.078","1.078","1.078","1.078","1.078","1.078","1.078","1.078","1.078","1.078","1.078",
"Andorra","AND","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.05167469736325","","","","","1.05161387469391","","","","","1.05141634646243","","","","","1.05100512971784","","","","","1.05058422566863","","","","","1.05082318099066","","","1.05082446639465","","1.05094439237072","","","","","1.05097495690606","","","","","1.0523797204596","","","","","1.05219038872653","1.05226244580981","1.05235778731518","1.0525464815253","1.05264919207811","1.05273139132682","1.05254615670439","1.05232062194393","1.05182030652526","1.05153761116876","",
"United Arab Emirates","ARE","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","1.045","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045",
"Argentina","ARG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","1.04","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04",
"Armenia","ARM","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.064","","","","","1.064","","","","","1.057","","","","","1.052","","","","","1.05","","","","","1.058","","","1.069","","1.077","","","","","1.151","","","","","1.173","","","","","1.151","1.148","1.146","1.143","1.141","1.138","1.136","1.134","1.133","1.131","1.129",
"American Samoa","ASM","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","1.03","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03",
