Country Code,Country Name,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EAS,East Asia & Pacific,"Mortality rate, under-5 (per 1,000 live births)",56.8,55.6,54.2,52.6,50.9,49.1,47.4,45.6,43.7,41.8,39.7,37.6,35.4,33.2,32.1,29.3,27.5,25.9,25.2,23.2,21.9,20.8,19.7,18.8,17.9,17.1,16.4,15.8
ECS,Europe & Central Asia,"Mortality rate, under-5 (per 1,000 live births)",30.9,30.2,29.7,29.2,28.4,27.6,26.5,25.4,24.2,22.9,21.7,20.4,19.3,18.1,17.1,16.1,15.3,14.5,13.7,13.1,12.5,11.9,11.4,10.9,10.4,9.9,9.4,9.0
EUU,European Union,"Mortality rate, under-5 (per 1,000 live births)",11.85210504,11.28373109,10.7365532,10.14925175,9.604244555,9.076618103,8.577625288,8.140696372999999,7.732905775,7.384329813,7.083357689,6.806166177000001,6.586797985,6.35812655,6.1352741989999995,5.888337674,5.637398846,5.420919606,5.200004332,5.023375908,4.849740801,4.714825577,4.580434994,4.462805565,4.34768127,4.284453479,4.185288212,4.096864516
FCS,Fragile and conflict affected situations,"Mortality rate, under-5 (per 1,000 live births)",149.5070646,147.47098480000002,145.51375900000002,143.64625759999998,141.7429822,139.7429849,137.5426644,135.0387807,132.1839706,129.11175020000002,125.80066629999999,122.32815829999998,118.81485819999999,115.20924679999999,111.6556499,108.11483659999999,104.6564885,101.1278528,99.01526325,94.20053488,93.2380501,87.94447177,85.06037873,82.32083345,79.78415762,77.35912763,75.04805074,72.86363547
HPC,Heavily indebted poor countries (HIPC),"Mortality rate, under-5 (per 1,000 live births)",181.73212900000001,178.96572849999998,176.1767414,173.5220292,172.03814730000002,168.0848898,163.7510761,160.43058259999998,156.9166847,151.77252099999998,146.8017621,141.3683007,135.6476046,129.8357369,124.12643130000001,118.57981940000002,113.4105896,108.4895957,103.74401529999999,99.27941411,96.40336365,90.85073205,86.85445205,83.21177557,79.83873208,76.57666092,73.58451051,70.88979283
LCN,Latin America & Caribbean,"Mortality rate, under-5 (per 1,000 live births)",54.8,52.5,50.1,47.7,45.4,43.1,40.9,38.8,37.1,35.0,33.0,31.3,29.7,28.2,26.9,25.7,24.6,23.5,22.6,21.8,24.4,20.3,19.7,19.2,18.7,18.3,18.3,17.7
LDC,Least developed countries: UN classification,"Mortality rate, under-5 (per 1,000 live births)",175.29839199999998,171.968618,168.63267230000002,165.4402826,163.1340855,158.9805623,154.55478019999998,150.9397846,147.0050775,142.18966650000002,137.31597639999998,132.1251434,126.72779440000001,121.2708365,115.9271966,110.72245520000001,105.8285855,101.14882659999999,97.39537628,92.39142084,89.50909597,84.44382081,80.75028162,77.40400343,74.33359383,71.4193764,68.73337765,66.32622332
LIC,Low income,"Mortality rate, under-5 (per 1,000 live births)",179.5,176.6,173.8,171.2,169.9,165.7,161.1,157.6,153.6,148.4,143.2,137.6,131.9,126.1,120.5,115.0,110.0,105.2,100.5,96.1,93.5,87.9,84.0,80.6,77.4,74.4,71.6,69.1
LMC,Lower middle income,"Mortality rate, under-5 (per 1,000 live births)",121.6,118.9,116.4,114.0,111.6,109.1,106.6,103.9,101.0,98.0,94.8,91.6,88.3,85.1,82.5,78.8,75.8,72.9,70.3,67.1,64.3,61.7,59.2,56.8,54.6,52.4,50.4,48.5
MEA,Middle East & North Africa,"Mortality rate, under-5 (per 1,000 live births)",65.4,62.7,60.2,57.8,55.4,53.1,50.8,48.7,46.6,44.6,42.6,40.8,39.0,37.2,35.6,34.0,32.5,31.1,29.8,28.6,27.6,26.7,26.1,25.4,24.8,24.2,23.6,23.1
MIC,Middle income,"Mortality rate, under-5 (per 1,000 live births)",91.34021617,89.94741875,88.63679057,87.23563927,85.79057858,84.15838243,82.36650184,80.39135872,78.26532677,75.92140696,73.40738445,70.7745806,68.09008927,65.41991245,63.09544118,60.14656485,57.58443422,55.06869916,52.83801773,50.26554224,48.04528402,45.91689991,43.97068216,42.14025626,40.46361948,38.91175126,37.495765500000005,36.17544194
SAS,South Asia,"Mortality rate, under-5 (per 1,000 live births)",129.4,125.8,122.2,118.7,115.3,111.8,108.2,104.6,101.0,97.4,93.8,90.2,86.8,83.5,80.4,77.2,74.1,71.1,68.2,65.3,62.5,59.7,57.0,54.3,51.7,49.3,46.9,44.8
SSF,Sub-Saharan Africa,"Mortality rate, under-5 (per 1,000 live births)",180.5,178.9,177.3,175.8,175.1,172.3,169.0,166.2,162.8,158.3,153.7,148.5,143.0,137.4,131.8,126.2,120.8,115.5,110.4,105.4,100.9,96.3,92.1,88.2,84.7,81.4,78.3,75.5
UMC,Upper middle income,"Mortality rate, under-5 (per 1,000 live births)",52.1,50.9,49.6,48.0,46.3,44.6,42.8,41.0,39.2,37.5,35.6,33.7,31.8,29.9,28.1,26.3,24.7,23.1,21.7,20.3,19.2,18.1,17.2,16.3,15.5,14.9,14.4,13.7
WLD,World,"Mortality rate, under-5 (per 1,000 live births)",93.2,92.0,90.8,89.6,88.6,87.1,85.4,83.7,81.8,79.5,77.1,74.5,71.7,69.0,66.5,63.5,60.9,58.3,56.0,53.5,51.5,49.1,47.1,45.2,43.5,41.9,40.5,39.1
